Unit ID,Condition,Persona,Story,Source unit,Atom,Atomic text,Argument label,AM label,Statement type,AM evidence,AM reason,In validation sample,Human reviewed,Human review label,Human corrected evidence/reason
A-A-01-001-01,A,A,1,1,1,You have been tending your garden with care each morning,PREMISE,GROUNDED,Personal factual assertion,Gardening: frequency once a week; importance 3/5; fun 4/5; motivation health/inspiration/meditative,Exact/profile-linked cue; verify scope and added details.,No,No,,
A-A-01-001-02,A,A,1,1,2,you notice small changes in plants,PREMISE,GROUNDED,Personal factual assertion,Gardening: frequency once a week; importance 3/5; fun 4/5; motivation health/inspiration/meditative,Exact/profile-linked cue; verify scope and added details.,No,No,,
A-A-01-002-01,A,A,1,2,1,That steady habit shows how much you value a calm life and steady routines that help you feel grounded,NONE,UNSUPPORTED,Personal factual assertion,"No matching activity, preference, relationship, frequency, motive, or experience was found in the matched profile.","No matching activity, preference, relationship, frequency, motive, or experience was found in the matched profile.",No,No,,
A-A-01-003-01,A,A,1,3,1,"Next week, pick small, safe activities you enjoy most",CLAIM,UNSUPPORTED,Recommendation,"No matching activity, preference, relationship, frequency, motive, or experience was found in the matched profile.","No matching activity, preference, relationship, frequency, motive, or experience was found in the matched profile.",No,No,,
A-A-01-004-01,A,A,1,4,1,Garden for thirty to forty minutes,CLAIM,GROUNDED,Recommendation,Gardening: frequency once a week; importance 3/5; fun 4/5; motivation health/inspiration/meditative,Exact/profile-linked cue; verify scope and added details.,No,No,,
A-A-01-005-01,A,A,1,5,1,"Sunlight, fresh air and mild chores lift your mood and energy",PREMISE,UNSUPPORTED,Personal factual assertion,"No matching activity, preference, relationship, frequency, motive, or experience was found in the matched profile.","No matching activity, preference, relationship, frequency, motive, or experience was found in the matched profile.",Yes,Yes,UNSUPPORTED,"No matching activity, preference, relationship, frequency, motive, or experience was found in the matched profile."
A-A-01-006-01,A,A,1,6,1,Go for a short walk on two days,CLAIM,GROUNDED,Recommendation,Go for a walk: frequency everyday; importance 4/5; fun 3/5; motivation physical health,Exact/profile-linked cue; verify scope and added details.,No,No,,
A-A-01-007-01,A,A,1,7,1,Movement clears your head and helps sleep,PREMISE,UNSUPPORTED,Personal factual assertion,"No matching activity, preference, relationship, frequency, motive, or experience was found in the matched profile.","No matching activity, preference, relationship, frequency, motive, or experience was found in the matched profile.",No,No,,
A-A-01-008-01,A,A,1,8,1,Call your children once or twice,CLAIM,GROUNDED,Recommendation,Call with children: frequency once a week; importance 5/5; fun 4/5; motivation family relationship,Exact/profile-linked cue; verify scope and added details.,No,No,,
A-A-01-009-01,A,A,1,9,1,That contact brings meaning and warmth,PREMISE,NOT_APPLICABLE,Narrative/rhetorical or general statement,No persona-checkable assertion,No persona-checkable assertion,No,No,,
A-A-01-010-01,A,A,1,10,1,Join the handicraft circle for a gentle social time,CLAIM,GROUNDED,Recommendation,Handicraft circle: frequency every other week; importance 3/5; fun 4/5; companion friend,Exact/profile-linked cue; verify scope and added details.,No,No,,
A-A-01-011-01,A,A,1,11,1,Friendly company feels nourishing,PREMISE,NOT_APPLICABLE,Narrative/rhetorical or general statement,No persona-checkable assertion,No persona-checkable assertion,No,No,,
A-A-01-012-01,A,A,1,12,1,Allow one relaxed evening with a film or book to rest without pressure,CLAIM,GROUNDED,Recommendation,TV or movies: frequency everyday; importance 3/5; fun 3/5; motivation rest/entertainment; Read books or news: frequency a few times per week; importance 4/5; fun 4/5; motivation recovery/emotional wellbeing,Exact/profile-linked cue; verify scope and added details.,No,No,,
A-A-01-013-01,A,A,1,13,1,"Plan garden days, two short walks, a midweek call, and one craft meet next week",CLAIM,GROUNDED,Recommendation,Go for a walk: frequency everyday; importance 4/5; fun 3/5; motivation physical health; Gardening: frequency once a week; importance 3/5; fun 4/5; motivation health/inspiration/meditative; Handicraft circle: frequency every other week; importance 3/5; fun 4/5; companion friend,Exact/profile-linked cue; verify scope and added details.,No,No,,
A-A-01-014-01,A,A,1,14,1,"Start small, track how you feel, and remember you can make the week happier and energizing.",CLAIM,UNSUPPORTED,Recommendation,"No matching activity, preference, relationship, frequency, motive, or experience was found in the matched profile.","No matching activity, preference, relationship, frequency, motive, or experience was found in the matched profile.",Yes,Yes,GROUNDED,"Persona has motives to improve health, doing fun and entertaining activities."
A-A-02-001-01,A,A,2,1,1,You are doing well keeping gentle routines and small everyday pleasures,NONE,UNSUPPORTED,Personal factual assertion,"No matching activity, preference, relationship, frequency, motive, or experience was found in the matched profile.","No matching activity, preference, relationship, frequency, motive, or experience was found in the matched profile.",No,No,,
A-A-02-002-01,A,A,2,2,1,"This morning you watered the geraniums, checked the news briefly, and made tea",PREMISE,GROUNDED,Personal factual assertion,Read books or news: frequency a few times per week; importance 4/5; fun 4/5; motivation recovery/emotional wellbeing,Exact/profile-linked cue; verify scope and added details.,No,No,,
A-A-02-003-01,A,A,2,3,1,That steady care shows resilience and good taste in comfort,NONE,NOT_APPLICABLE,Narrative/rhetorical or general statement,No persona-checkable assertion,No persona-checkable assertion,No,No,,
A-A-02-004-01,A,A,2,4,1,"Next week, pick two to three short activities each day to keep momentum",CLAIM,NOT_APPLICABLE,Narrative/rhetorical or general statement,No persona-checkable assertion,No persona-checkable assertion,No,No,,
A-A-02-005-01,A,A,2,5,1,Try gardening sessions in the morning,CLAIM,GROUNDED,Recommendation,Gardening: frequency once a week; importance 3/5; fun 4/5; motivation health/inspiration/meditative,Exact/profile-linked cue; verify scope and added details.,Yes,Yes,GROUNDED,Gardening: frequency once a week; importance 3/5; fun 4/5; motivation health/inspiration/meditative
A-A-02-006-01,A,A,2,6,1,Gentle movement and sunlight boost mood,PREMISE,NOT_APPLICABLE,Narrative/rhetorical or general statement,No persona-checkable assertion,No persona-checkable assertion,Yes,Yes,GROUNDED,walk: frequency everyday; importance 4/5; fun 3/5; motivation physical health
A-A-02-007-01,A,A,2,7,1,Take a walk with a friend or family member,CLAIM,GROUNDED,Recommendation,Go for a walk: frequency everyday; importance 4/5; fun 3/5; motivation physical health; Walk with friend/family: frequency once a week; importance 4/5; fun 3/5; companion friend/family,Exact/profile-linked cue; verify scope and added details.,No,No,,
A-A-02-008-01,A,A,2,8,1,Company lifts energy and joy,PREMISE,NOT_APPLICABLE,Narrative/rhetorical or general statement,No persona-checkable assertion,No persona-checkable assertion,No,No,,
A-A-02-009-01,A,A,2,9,1,Call your children,CLAIM,GROUNDED,Recommendation,Call with children: frequency once a week; importance 5/5; fun 4/5; motivation family relationship,Exact/profile-linked cue; verify scope and added details.,No,No,,
A-A-02-010-01,A,A,2,10,1,Those talks bring warmth and perspective,PREMISE,NOT_APPLICABLE,Narrative/rhetorical or general statement,No persona-checkable assertion,No persona-checkable assertion,No,No,,
A-A-02-011-01,A,A,2,11,1,Join the handicraft circle once,CLAIM,GROUNDED,Recommendation,Handicraft circle: frequency every other week; importance 3/5; fun 4/5; companion friend,Exact/profile-linked cue; verify scope and added details.,No,No,,
A-A-02-012-01,A,A,2,12,1,Hands-on work supports focus and social ties,PREMISE,NOT_APPLICABLE,Narrative/rhetorical or general statement,No persona-checkable assertion,No persona-checkable assertion,No,No,,
A-A-02-013-01,A,A,2,13,1,"If you need a quieter evening, relax with a favorite movie or book to unwind",CLAIM,GROUNDED,Personal factual assertion,TV or movies: frequency everyday; importance 3/5; fun 3/5; motivation rest/entertainment; Read books or news: frequency a few times per week; importance 4/5; fun 4/5; motivation recovery/emotional wellbeing,Exact/profile-linked cue; verify scope and added details.,No,No,,
A-A-02-014-01,A,A,2,14,1,"Plan three mornings of gardening, two walks, a call, one handicraft session, and a relaxing movie evening",CLAIM,GROUNDED,Recommendation,Go for a walk: frequency everyday; importance 4/5; fun 3/5; motivation physical health; Gardening: frequency once a week; importance 3/5; fun 4/5; motivation health/inspiration/meditative; TV or movies: frequency everyday; importance 3/5; fun 3/5; motivation rest/entertainment; Handicraft circle: frequency every other week; importance 3/5; fun 4/5; companion friend,Exact/profile-linked cue; verify scope and added details.,No,No,,
A-A-02-015-01,A,A,2,15,1,Keep every activity short and safe so each day feels pleasant and doable.,CLAIM,NOT_APPLICABLE,Narrative/rhetorical or general statement,No persona-checkable assertion,No persona-checkable assertion,No,No,,
A-A-03-001-01,A,A,3,1,1,"You handled a lot this week, Kim",NONE,UNSUPPORTED,Personal factual assertion,"No matching activity, preference, relationship, frequency, motive, or experience was found in the matched profile.","No matching activity, preference, relationship, frequency, motive, or experience was found in the matched profile.",No,No,,
A-A-03-001-02,A,A,3,1,2,that shows steadiness and care,NONE,NOT_APPLICABLE,Narrative/rhetorical or general statement,No persona-checkable assertion,No persona-checkable assertion,No,No,,
A-A-03-002-01,A,A,3,2,1,I picture you potting seedlings and later sitting with a cup of tea on the porch,PREMISE,GROUNDED,Personal factual assertion,Gardening: frequency once a week; importance 3/5; fun 4/5; motivation health/inspiration/meditative,Exact/profile-linked cue; verify scope and added details.,No,No,,
A-A-03-003-01,A,A,3,3,1,Those small efforts matter,NONE,NOT_APPLICABLE,Narrative/rhetorical or general statement,No persona-checkable assertion,No persona-checkable assertion,No,No,,
A-A-03-004-01,A,A,3,4,1,"Next week, try alternating active and restful days, keeping calls with your children and reading days as priorities",CLAIM,GROUNDED,Recommendation,Read books or news: frequency a few times per week; importance 4/5; fun 4/5; motivation recovery/emotional wellbeing; Call with children: frequency once a week; importance 5/5; fun 4/5; motivation family relationship,Exact/profile-linked cue; verify scope and added details.,No,No,,
A-A-03-005-01,A,A,3,5,1,They give connection and calm,PREMISE,NOT_APPLICABLE,Narrative/rhetorical or general statement,No persona-checkable assertion,No persona-checkable assertion,No,No,,
A-A-03-006-01,A,A,3,6,1,Include the handicraft circle once or twice,CLAIM,GROUNDED,Recommendation,Handicraft circle: frequency every other week; importance 3/5; fun 4/5; companion friend,Exact/profile-linked cue; verify scope and added details.,No,No,,
A-A-03-007-01,A,A,3,7,1,Gentle social time lifts mood without heavy exertion,PREMISE,NOT_APPLICABLE,Narrative/rhetorical or general statement,No persona-checkable assertion,No persona-checkable assertion,No,No,,
A-A-03-008-01,A,A,3,8,1,Spacing effort protects energy and reduces stress,PREMISE,NOT_APPLICABLE,Narrative/rhetorical or general statement,No persona-checkable assertion,No persona-checkable assertion,Yes,Yes,UNSUPPORTED,no activities specified 
A-A-03-008-02,A,A,3,8,2,short sessions and naps help recovery,PREMISE,NOT_APPLICABLE,Narrative/rhetorical or general statement,No persona-checkable assertion,No persona-checkable assertion,No,No,,
A-A-03-009-01,A,A,3,9,1,It may not be fully sufficient if your fatigue is high,PREMISE,UNSUPPORTED,Personal factual assertion,"No matching activity, preference, relationship, frequency, motive, or experience was found in the matched profile.","No matching activity, preference, relationship, frequency, motive, or experience was found in the matched profile.",No,No,,
A-A-03-010-01,A,A,3,10,1,Watch signs of tiredness and shorten sessions when needed,CLAIM,NOT_APPLICABLE,Narrative/rhetorical or general statement,No persona-checkable assertion,No persona-checkable assertion,No,No,,
A-A-03-011-01,A,A,3,11,1,"If social calls or long gardening sessions tire you, shorten them or substitute a quiet walk",CLAIM,GROUNDED,Personal factual assertion,Go for a walk: frequency everyday; importance 4/5; fun 3/5; motivation physical health; Gardening: frequency once a week; importance 3/5; fun 4/5; motivation health/inspiration/meditative,Exact/profile-linked cue; verify scope and added details.,No,No,,
A-A-03-012-01,A,A,3,12,1,"A simple plan could be: garden one day, call or read the next, then walk, then handicraft",CLAIM,GROUNDED,Recommendation,Go for a walk: frequency everyday; importance 4/5; fun 3/5; motivation physical health; Gardening: frequency once a week; importance 3/5; fun 4/5; motivation health/inspiration/meditative; Read books or news: frequency a few times per week; importance 4/5; fun 4/5; motivation recovery/emotional wellbeing; Handicraft circle: frequency every other week; importance 3/5; fun 4/5; companion friend,Exact/profile-linked cue; verify scope and added details.,No,No,,
A-A-03-013-01,A,A,3,13,1,Build in one full quiet recovery block midweek with no plans,CLAIM,NOT_APPLICABLE,Narrative/rhetorical or general statement,No persona-checkable assertion,No persona-checkable assertion,No,No,,
A-A-03-014-01,A,A,3,14,1,You are taking sensible steps,NONE,UNSUPPORTED,Personal factual assertion,"No matching activity, preference, relationship, frequency, motive, or experience was found in the matched profile.","No matching activity, preference, relationship, frequency, motive, or experience was found in the matched profile.",No,No,,
A-A-03-014-02,A,A,3,14,2,you can adjust with kindness.,NONE,UNSUPPORTED,Personal factual assertion,"No matching activity, preference, relationship, frequency, motive, or experience was found in the matched profile.","No matching activity, preference, relationship, frequency, motive, or experience was found in the matched profile.",No,No,,
