Review ID,Unit ID,Condition,Persona,Story,Atomic text,Human label,Human evidence/reason
F001,C-D-05-003-01,C,D,5,"Each moment spent doing something meaningful can shape your feelings and thoughts, helping you connect with what matters most to you.Activities, whether big or small, often hold significance in our lives.",UNSUPPORTED,Hallucinated or made up
F002,A-D-06-003-01,A,D,6,"These daily habits reflected persistence, patience, and steady self-care all week, Kim",NOT_APPLICABLE,Generic advice
F003,A-A-01-014-01,A,A,1,"Start small, track how you feel, and remember you can make the week happier and energizing.",GROUNDED,"Persona has motives to improve health, doing fun and entertaining activities."
F004,C-C-07-008-01,C,C,7,"Whether you fulfilled your intentions or not, each moment holds value.",UNSUPPORTED,Hallucinated or made up
F005,A-D-03-013-01,A,D,3,You are doing well and can also adjust this plan anytime if needed.,NOT_APPLICABLE,Doesn’t tell anything as a claim or a premise
F006,C-E-03-008-01,C,E,3,"Each day is an opportunity to nurture yourself, both physically and mentally.",NOT_APPLICABLE,Generic advice
F007,B-A-04-006-01,B,C,4,You might also want to find some moments to enjoy your novels or music during the day instead of just in the evening.,GROUNDED,I think the persona likes to read novels and music
F008,C-B-07-005-01,C,B,7,"Did you set out to socialize, learn something new, or take care of yourself?",UNSUPPORTED,no evidence and it’s a question
F009,B-C-05-009-01,B,A,5,"Each of these activities holds significance, contributing to your overall happiness and health.",UNSUPPORTED,no evidence to support
F010,A-E-08-008-01,A,E,8,Your daily walk felt slightly less fun,GROUNDED,Daily walk: frequency everyday; importance 5/5; fun 4/5; motivation health/energy
F011,B-D-08-010-01,B,B,8,"Continue engaging in what brings you happiness, and know that each effort you make nurtures your well-being.",UNSUPPORTED,no evidence from persona profile
F012,B-E-07-005-01,B,D,7,"You have consistently completed your rehab exercises and made time for rest, which is essential for your recovery.",GROUNDED,Rehab: frequency everyday; importance 5/5; fun 2/5; motivation health/pain reduction/outcome
F013,A-A-08-002-01,A,A,8,"You knelt by the raised beds, sleeves damp",UNSUPPORTED,not in persona
F014,A-B-01-007-01,A,B,1,Go to the gym for short sessions three times,GROUNDED,Exercise in the gym: frequency once a week; importance 4/5; fun 2/5; motivation pain reduction/health/outcome
F015,C-D-02-003-01,C,D,2,"By focusing on small, positive changes, you can create an atmosphere that feels brighter and more fulfilling.You might start your mornings with gentle stretches or a leisurely breakfast, taking time to enjoy each bite.",UNSUPPORTED,"too much claim without evidence from persona, made up or hallucinated"
F016,B-B-03-011-01,B,E,3,Embrace this week as an opportunity to nurture yourself and enjoy the connections that bring you joy.,UNSUPPORTED,no evidence
F017,B-A-08-009-01,B,C,8,"You also valued your social connections, having a video call with your sister once a week and participating in the art study circle every other week with your friend, creating meaningful moments.",GROUNDED,"Video call with sister: frequency once a week; importance 4/5; fun 4/5; companion extended family, Art study circle: frequency every other week; importance 3/5; fun 4/5; companion friend; motivation creative/social"
